selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,provenance,target_id,quarter,light_curve_cache_hit,n_grid_observations,n_usable_observations,longest_segment_length,longest_segment_days,median_cadence_days,gap_fraction,robust_flux_scatter_ppm,background_tau_acf_e_days,background_tau_acf_half_days,background_tau_acf_zero_days,background_tau_integrated_positive_acf_days,background_acf_lag_1,background_acf_6h,background_acf_1d,background_acf_2d,background_acf_5d,acf_max_lag_days,preprocessing_n_row_absent,preprocessing_n_unusable_observed,rolling_background_window_cadences,rolling_background_scatter_ppm,rolling_short_residual_scatter_ppm,rolling_background_to_short_scatter_ratio,status,error
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10989954,5,False,4634.0,4486.0,146.0,2.9629714425464044,0.020434284291695803,0.03193785066896848,535.9701830548627,0.10217142145847902,0.08173713716678321,0.30651426437543705,0.2423513220688703,0.8584671208888599,0.17943571649401574,-0.040367290697147826,-0.0029034738332270253,,2.9425369380041957,96.0,52.0,49.0,242.28909438874794,458.26724469851234,0.5287069874438585,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11026153,5,False,4634.0,4486.0,146.0,2.962971081440628,0.02043428155593574,0.03193785066896848,593.650069075795,0.02043428155593574,0.02043428155593574,0.04086856311187148,0.02236042679432112,0.04713024123487901,0.06672200407803838,-0.0011523491176405535,-0.0087612703807738,,2.9425365440547466,96.0,52.0,49.0,121.44542066285277,528.9290372209836,0.22960626495556444,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11042669,5,False,4634.0,4486.0,146.0,2.962971244844084,0.02043428289471194,0.03193785066896848,415.37511225199853,0.061302848684135824,0.061302848684135824,0.6743313355254941,0.3303258374893824,0.795734622554678,0.14824170613489146,0.06746731475781323,-0.1798587332436892,,2.9425367368385196,96.0,52.0,49.0,373.77225622705566,370.0149302245667,1.0101545253868771,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11245408,5,False,4634.0,4486.0,146.0,2.9629694600225776,0.02043427046010038,0.03193785066896848,2972.461369803576,0.6743309251833125,0.5312910319626098,1.0625820639252197,1.025578535008688,0.9184925314490596,0.7609363091680388,0.0502180253553422,-0.4085782150635544,,2.9425349462544546,96.0,52.0,49.0,1854.0304860430756,357.5939251935119,5.184737087017816,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11296306,5,False,4634.0,4486.0,146.0,2.9629687579290476,0.020434265585208777,0.03193785066896848,198.83411228412953,0.020434265585208777,0.020434265585208777,0.10217132792604389,0.03287445758628644,0.04653566109808904,-0.1413553858428267,-0.02575966398992241,-0.009140353310910097,,2.942534244270064,96.0,52.0,49.0,21.686929038586676,194.66068264087542,0.11140888208327279,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11302899,5,False,4634.0,4486.0,146.0,2.9629688313943916,0.020434266196389217,0.03193785066896848,183.67574167640984,0.10217133098194608,0.020434266196389217,0.2452111943566706,0.14416507883391347,0.448143047323938,-0.062378211253887435,0.11670678847468961,-0.03914714568656349,,2.9425343322800472,96.0,52.0,49.0,50.565033437889646,206.98366673735984,0.24429479985032476,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11349070,5,False,4634.0,4486.0,146.0,2.962968551706581,0.020434264159121085,0.03193785066896848,305.7112775132716,0.020434264159121085,0.020434264159121085,0.2860796982276952,0.06140828231498201,0.11346139883416388,0.17793999939791705,0.04185752483807928,-0.023151263906780566,,2.9425340389134362,96.0,52.0,49.0,39.740745698167096,312.50677298995265,0.1271676300578765,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11391629,5,False,4634.0,4486.0,146.0,2.962966438404692,0.020434249425306916,0.03193785066896848,295.64756481864833,0.020434249425306916,0.020434249425306916,0.06130274827592075,0.02237693153584082,0.02339413846034191,0.11314777460774089,-0.0834556521688446,0.01696397047713027,,2.942531917244196,96.0,52.0,49.0,43.44209115703394,262.49615420579556,0.16549610522284292,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11414923,5,False,4634.0,4486.0,146.0,2.9629677888806327,0.020434259087778628,0.03193785066896848,3303.2119536754985,0.6743305498966947,0.551724995370023,0.9808444362133741,1.0429589348517625,0.9403840689145366,0.8106492208410004,-0.043558685673252995,-0.38196838518595944,,2.9425333086401224,96.0,52.0,49.0,2970.5243980039086,858.8316151728994,3.4587972141732166,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,11450313,5,False,4634.0,4486.0,146.0,2.9629668876659707,0.020434252626728266,0.03193785066896848,1883.3834290817376,0.1839082736405544,0.14303976838709787,0.9604098734562285,0.6167568116209278,0.9379669377998171,0.30240097872120963,-0.0814607998211279,-0.11640202451524043,,2.9425323782488704,96.0,52.0,49.0,1675.1772789676302,1180.3347806674374,1.4192391060613982,success,
