configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
fixed_l_over_duration_1,1,489.51122690278135,489.46771192799497,-0.043514974786376115,-0.0001965188462366152,-0.0011965188462366152,True,-0.00019170234408724522,5.170917155222444e-05,-0.00100481650214937
fixed_l_over_duration_1,1,489.51122690278135,489.48814604802465,-0.02308085475669941,-0.00012751914755804172,-0.0011275191475580417,True,-0.00018180005442679836,5.199426988363623e-05,-0.0009457190931312434
fixed_l_over_duration_1,1,489.51122690278135,489.50858036804857,-0.0026465347327757627,-0.0002010508461498528,-0.0012010508461498528,True,-0.00017219384993064334,5.2153263696690596e-05,-0.0010288569962192094
fixed_l_over_duration_1,1,489.51122690278135,489.52901448807825,0.017787585296900943,-0.000131144747488543,-0.001131144747488543,True,-0.0001631068925720778,5.2112307324983006e-05,-0.0009680378549164652
fixed_l_over_duration_1,1,489.51122690278135,489.5494487080505,0.03822180526913144,-0.00020286364611521446,-0.0012028636461152145,True,-0.00015472946863750788,5.190743357460983e-05,-0.0010481341774777066
fixed_l_over_duration_1,1,489.51122690278135,489.5698830280162,0.05865612523484742,-0.00012026794769681715,-0.0011202679476968172,True,-0.00014721935357129456,5.1681767203421576e-05,-0.0009730485941255227
fixed_l_over_duration_1,1,489.51122690278135,489.59031714792945,0.0790902451481088,-0.00016218894689412622,-0.0011621889468941262,True,-0.00014070271847669473,5.1632623983184895e-05,-0.0010214862284174315
fixed_l_over_duration_1,1,489.51122690278135,489.6107513678435,0.09952446506213164,-0.00014190824728244067,-0.00014190824728244067,False,-0.00013527514429651508,5.192328664229827e-05,-6.6331029859255895e-06
fixed_l_over_duration_1,1,489.51122690278135,489.631185687751,0.11995878496963996,-0.00018439574646877954,-0.00018439574646877954,False,-0.00013100304002572758,5.25975236619938e-05,-5.339270644305196e-05
fixed_l_over_duration_1,1,489.51122690278135,489.65161980760604,0.1403929048246937,-0.0001482530471609289,-0.0001482530471609289,False,-0.00012792406989118213,5.3543762789546234e-05,-2.0328977269746775e-05
fixed_l_over_duration_1,1,489.51122690278135,489.67205402740365,0.1608271246223012,-0.0001405486473085027,-0.0001405486473085027,False,-0.00012604680116172823,5.453020685486367e-05,-1.4501846146774462e-05
fixed_l_over_duration_1,1,489.51122690278135,489.69248834725295,0.18126144447160186,-0.00013941564733022105,-0.00013941564733022105,False,-0.0001253500545009169,5.5288343065856874e-05,-1.4065592829304156e-05
fixed_l_over_duration_1,1,489.51122690278135,489.7129224670498,0.20169556426844792,-0.00021102124595895333,-0.00021102124595895333,False,-0.00012578165816675476,5.5601632293232805e-05,-8.523958779219857e-05
