candidate_id,target_id,quarter,injection_index,candidate_period_days,source_detector,exact_match,harmonic_match,selection_group,injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,candidate_period_error_fraction,candidate_harmonic_error_fraction,candidate_best_harmonic_factor,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,in_transit_observation_count,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value
4955,2715695,5,5,13.907635878626209,tcf,False,False,confirmed_planet_host,2.0,8.0,0.001,0.45,5.9538179393131045,1.3179393131043682,3.0,False,1,False,True,False,True,False,,13.907635878626209,,2.0,,6.164344037382605,,0.871327929914845,,,,0.06773673296981794,5.957297748123435,0.06773673296981794,1.0,1.3190992493744784,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4956,2715695,5,5,2.666555518506169,tcf,False,False,confirmed_planet_host,2.0,8.0,0.001,0.45,0.33327775925308445,0.33327775925308445,1.0,False,1,False,True,False,True,False,,2.666555518506169,,3.0,,6.001811265895779,,0.8483539780289489,,,,0.7952794204234186,0.3339449541284403,0.5905588408468372,0.5,0.33302752293577986,2.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4957,2715695,5,5,13.24008002667556,tcf,False,False,confirmed_planet_host,2.0,8.0,0.001,0.45,5.62004001333778,1.2066800044459267,3.0,False,1,False,True,False,True,False,,13.24008002667556,,4.0,,5.961187869811539,,0.8426118748300461,,,,0.016486188976781162,5.623352793994996,0.016486188976781162,1.0,1.2077842646649986,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4958,2715695,5,5,9.561520506835613,tcf,False,False,confirmed_planet_host,2.0,8.0,0.001,0.45,3.7807602534178066,0.5935867511392688,3.0,False,1,False,True,False,True,False,,9.561520506835613,,5.0,,5.832022421817088,,0.8243543827538388,,,,0.26592939610372984,3.7831526271893248,0.26592939610372984,1.0,0.5943842090631082,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4959,2715695,5,6,12.773257752584195,bls,False,False,confirmed_planet_host,5.0,2.0,0.0005,0.45,1.554651550516839,0.14844948316105366,3.0,False,1,True,False,True,False,False,12.773257752584195,,1.0,,3.297812562389613,,1.0,,,,,0.0193533522770909,1.3906842512755762e-16,0.0193533522770909,1.0,1.3906842512755762e-16,1.0,0.01935335227709076,1.0,,,,,,3.9,0.0006727175222182,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,71,True,,0.683291770573566,,0.8041237113402062
4960,2715695,5,6,14.225075025008337,bls,False,False,confirmed_planet_host,5.0,2.0,0.0005,0.45,1.8450150050016674,0.0516616649994442,3.0,False,1,True,False,True,False,False,14.225075025008337,,2.0,,3.208484948543401,,0.9729130712688278,,,,,0.09210762102245092,0.11366068864698348,0.09210762102245092,1.0,0.11366068864698348,1.0,0.01935335227709076,1.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,71,True,,,,
4961,2715695,5,6,2.2324108036012005,bls,False,False,confirmed_planet_host,5.0,2.0,0.0005,0.45,0.55351783927976,0.10703567855951981,0.5,False,1,True,False,True,False,False,2.2324108036012005,,3.0,,3.1904565324068206,,0.9674462911545822,,,,,0.8286101937895194,0.8252277651604145,0.657220387579039,0.5,0.6504555303208291,0.5,0.01935335227709076,1.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,71,True,,,,
4962,2715695,5,6,14.463154384794933,bls,False,False,confirmed_planet_host,5.0,2.0,0.0005,0.45,1.8926308769589866,0.0357897076803378,3.0,False,1,True,False,True,False,False,14.463154384794933,,4.0,,3.1565292151497792,,0.9571584665389657,,,,,0.11038578706192564,0.13229957971127984,0.11038578706192564,1.0,0.13229957971127984,1.0,0.01935335227709076,1.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,71,True,,,,
4963,2715695,5,6,13.772257419139715,bls,False,False,confirmed_planet_host,5.0,2.0,0.0005,0.45,1.754451483827943,0.08184950539068568,3.0,False,1,True,False,True,False,False,13.772257419139715,,5.0,,3.106604973528136,,0.9420198737059431,,,,,0.05734326600619516,0.07821024877959636,0.05734326600619516,1.0,0.07821024877959636,1.0,0.01935335227709076,1.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,71,True,,,,
4964,2715695,5,6,13.025341780593532,tcf,False,False,confirmed_planet_host,5.0,2.0,0.0005,0.45,1.6050683561187065,0.13164388129376453,3.0,False,1,False,True,False,True,True,,13.025341780593532,,1.0,,7.111178110878802,,1.0,,,,0.0,0.019735296421019562,0.0,1.0,0.019735296421019562,1.0,0.01935335227709076,1.0,7.0,7.0,1.0,2.6877726871530583,6.136170093635914,7.571428571428571,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,71,True,0.2693266832917705,,0.1855670103092783,
