trial,trial_seed,success,bls_max_power,bls_best_period,bls_best_duration,bls_best_epoch,tcf_max_score,tcf_best_raw_pooled_score,tcf_best_period,tcf_best_duration,tcf_best_epoch,tcf_valid_transit_events,tcf_positive_event_fraction,error
41,11147969031559261349,True,0.0005647862603737159,13.542542542542542,0.0625,451.6924769027813,8.822658624609941,8.100376281044483,13.518651865186518,0.0625,445.12509853352446,7,0.7142857142857143,
42,15890613351318163587,True,0.00053841117105403,14.50950950950951,0.0625,454.88622690278135,8.70694807400332,6.998824022602496,14.537953795379538,0.0625,443.7776196153648,7,0.7142857142857143,
43,3602979946352011552,True,0.00053094324256367,11.328328328328329,0.0625,452.14872690278133,9.572049682827116,8.099475296398337,11.326032603260325,0.0625,452.18011007043026,7,0.8571428571428571,
44,14402932800314139916,True,0.000564325061776817,12.435435435435435,0.0625,447.46747690278136,7.968161093532224,5.487415771136988,14.232723272327233,0.0625,456.8665112430877,5,0.8,
45,13886696243105333686,True,0.0005103705279912527,13.024024024024024,0.0625,448.90497690278136,7.610001409503438,4.497379728281869,10.977397739773977,0.0625,446.33282102099207,9,0.6666666666666666,
46,11575176418959374051,True,0.0005813058910755057,7.18018018018018,0.0625,446.65497690278136,11.384903487093778,11.476424023216392,14.57995799579958,0.31547619047619047,445.76202619489544,4,0.75,
47,6440166411548435861,True,0.0004382722372828142,14.747747747747747,0.0625,455.04247690278135,8.04836056542594,5.601242306242542,10.042104210421043,0.0625,445.63884285302197,9,0.8888888888888888,
48,3998700223022895943,True,0.0005151815366337552,14.06106106106106,0.0625,452.71747690278136,8.308581323860821,5.80592361547264,14.532353235323532,0.0625,449.05087239774576,7,0.7142857142857143,
49,14535092767141793046,True,0.0005887751199154398,13.416416416416416,0.0625,452.4112269027813,9.50758702557468,5.731576462139192,11.113211321132113,0.0625,444.1859808671484,9,0.7777777777777778,
50,2857866630145188130,True,0.0005194817509685673,13.402402402402402,0.0625,451.94872690278135,9.869800356891824,5.355202245947878,12.703770377037703,0.0625,448.5361615606362,7,0.7142857142857143,
51,6626744193994990214,True,0.0004954313448170532,14.831831831831831,0.0625,449.92997690278133,8.006892316966304,4.765053125399738,10.814981498149814,0.1636904761904762,451.2289806277555,9,0.6666666666666666,
52,12282761389533731557,True,0.000499934833491485,8.917917917917919,0.0625,447.77997690278136,8.779161689952325,8.136803642773868,13.539653965396539,0.31547619047619047,446.02768299651615,6,0.6666666666666666,
