ok,target_id,quarter,selection_order,error_type,error
False,7419487,5,982,RuntimeError,"No Kepler light curve found for target='KIC 7419487', quarter=5, author='Kepler', cadence='long'."
False,10862878,5,989,RuntimeError,"No Kepler light curve found for target='KIC 10862878', quarter=5, author='Kepler', cadence='long'."
False,4931357,5,993,RuntimeError,"No Kepler light curve found for target='KIC 4931357', quarter=5, author='Kepler', cadence='long'."
False,5983031,5,994,RuntimeError,"No Kepler light curve found for target='KIC 5983031', quarter=5, author='Kepler', cadence='long'."
False,9594385,5,997,RuntimeError,"No Kepler light curve found for target='KIC 9594385', quarter=5, author='Kepler', cadence='long'."
False,8265187,5,1002,RuntimeError,"No Kepler light curve found for target='KIC 8265187', quarter=5, author='Kepler', cadence='long'."
False,8182135,5,1021,RuntimeError,"No Kepler light curve found for target='KIC 8182135', quarter=5, author='Kepler', cadence='long'."
False,7672067,5,1025,RuntimeError,"No Kepler light curve found for target='KIC 7672067', quarter=5, author='Kepler', cadence='long'."
False,5942803,5,1030,RuntimeError,"No Kepler light curve found for target='KIC 5942803', quarter=5, author='Kepler', cadence='long'."
False,9156474,5,1034,RuntimeError,"No Kepler light curve found for target='KIC 9156474', quarter=5, author='Kepler', cadence='long'."
False,8197082,5,1047,RuntimeError,"No Kepler light curve found for target='KIC 8197082', quarter=5, author='Kepler', cadence='long'."
False,4939830,5,1058,RuntimeError,"No Kepler light curve found for target='KIC 4939830', quarter=5, author='Kepler', cadence='long'."
False,5683534,5,1065,RuntimeError,"No Kepler light curve found for target='KIC 5683534', quarter=5, author='Kepler', cadence='long'."
False,10710711,5,1069,RuntimeError,"No Kepler light curve found for target='KIC 10710711', quarter=5, author='Kepler', cadence='long'."
False,8330193,5,1074,RuntimeError,"No Kepler light curve found for target='KIC 8330193', quarter=5, author='Kepler', cadence='long'."
False,6421450,5,1077,RuntimeError,"No Kepler light curve found for target='KIC 6421450', quarter=5, author='Kepler', cadence='long'."
False,3561016,5,1081,RuntimeError,"No Kepler light curve found for target='KIC 3561016', quarter=5, author='Kepler', cadence='long'."
False,6774146,5,1082,RuntimeError,"No Kepler light curve found for target='KIC 6774146', quarter=5, author='Kepler', cadence='long'."
False,6445483,5,1107,RuntimeError,"No Kepler light curve found for target='KIC 6445483', quarter=5, author='Kepler', cadence='long'."
False,11599062,5,1110,RuntimeError,"No Kepler light curve found for target='KIC 11599062', quarter=5, author='Kepler', cadence='long'."
False,9968125,5,1115,RuntimeError,"No Kepler light curve found for target='KIC 9968125', quarter=5, author='Kepler', cadence='long'."
False,4741130,5,1129,RuntimeError,"No Kepler light curve found for target='KIC 4741130', quarter=5, author='Kepler', cadence='long'."
False,10525277,5,1130,RuntimeError,"No Kepler light curve found for target='KIC 10525277', quarter=5, author='Kepler', cadence='long'."
False,8289594,5,1140,RuntimeError,"No Kepler light curve found for target='KIC 8289594', quarter=5, author='Kepler', cadence='long'."
False,6501743,5,1150,RuntimeError,"No Kepler light curve found for target='KIC 6501743', quarter=5, author='Kepler', cadence='long'."
False,5126672,5,1159,RuntimeError,"No Kepler light curve found for target='KIC 5126672', quarter=5, author='Kepler', cadence='long'."
False,5684249,5,1166,RuntimeError,"No Kepler light curve found for target='KIC 5684249', quarter=5, author='Kepler', cadence='long'."
False,5600739,5,1171,RuntimeError,"No Kepler light curve found for target='KIC 5600739', quarter=5, author='Kepler', cadence='long'."
False,12367469,5,1175,RuntimeError,"No Kepler light curve found for target='KIC 12367469', quarter=5, author='Kepler', cadence='long'."
False,3649200,5,1180,RuntimeError,"No Kepler light curve found for target='KIC 3649200', quarter=5, author='Kepler', cadence='long'."
False,4639778,5,1181,RuntimeError,"No Kepler light curve found for target='KIC 4639778', quarter=5, author='Kepler', cadence='long'."
False,7124677,5,1191,RuntimeError,"No Kepler light curve found for target='KIC 7124677', quarter=5, author='Kepler', cadence='long'."
False,9228745,5,1193,RuntimeError,"No Kepler light curve found for target='KIC 9228745', quarter=5, author='Kepler', cadence='long'."
