target_id,quarter,selection_order,population_cohort,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,original_series_stationarity_conclusion,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad,v2_amplitude_population_label,v2_memory_population_label,v2_acf1_operational_label,v2_quiet_candidate,v2_low_scatter_structured_candidate,v2_correlated_stochastic_candidate,v2_evolving_variability_candidate,v2_quasi_periodic_candidate,v2_coherent_periodic_candidate,v2_rotation_spot_review_flag,v2_pulsation_review_flag,v2_dominant_statistical_behaviour
6200157,5,1106,population_expansion_900,0.0006004967557510599,0.36156177055381117,0.00044583147570218456,0.22049346314057444,0.02043441979913041,stationary_supported,0.008348291568731066,0.13295867886323812,7.758940571189108,,0.07105111821089748,typical,typical,moderate,False,False,False,False,False,False,False,False,Short-memory stochastic
8933959,5,1108,population_expansion_900,0.0016323955692584768,0.25319272919165003,0.00044583147570218456,0.007828959988907043,0.02043427844182588,stationary_supported,0.0008832387627674805,0.18986607101076727,0.1321211301974977,,0.030363789599339327,high,low,weak,False,False,False,False,False,False,False,False,High-amplitude / high-scatter
11147664,5,1109,population_expansion_900,0.0002783374530830825,0.3790375096996488,0.0011145786892554615,0.018799989027358275,0.02043427682656329,conflicting_rejections,0.002221216886238116,0.024625839774254903,14.789306107420384,,0.05835501355016857,typical,low,weak,False,False,False,False,False,False,False,False,Low-scatter structured
5123580,5,1111,population_expansion_900,0.0005983757294377176,0.5806737143374787,0.00044583147570218456,0.1598977176164518,0.020434503618162125,stationary_supported,0.011056721756322876,0.09586749726264084,14.342170365678022,,0.06983400467758837,typical,typical,weak,False,False,False,False,False,False,False,False,Mixed / complex
11289660,5,1112,population_expansion_900,0.00038945216391782456,23.743446996494757,0.0020062416406598305,0.02967282605851832,0.02043421199050499,stationary_supported,0.0011708076418420798,0.13006163039772112,17.528011754868142,,0.018546465712048887,typical,low,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
2577052,5,1113,population_expansion_900,0.00017301596734191753,0.30625076871707174,0.0011148272017837235,0.24974875583573866,0.020434530917555094,conflicting_rejections,0.008830074036754714,0.2633281545158502,17.528285577447672,,0.07733562162149328,low,typical,moderate,False,True,False,True,False,False,False,False,Evolving variability
3628915,5,1114,population_expansion_900,0.003072087016815203,-0.41230262698375436,0.0,0.9867977382976476,3.5760331915298593,stationary_supported,0.13361921740847088,0.13047576530627675,22.536297719060446,,0.0644185476117682,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
8778471,5,1116,population_expansion_900,0.00024590457368642803,0.4101859982532934,0.0006687472135532769,0.4685069560967832,0.715203869913239,stationary_supported,0.03132786537275066,0.19891150329908172,12.790826168021274,,0.10285666540072838,low,typical,moderate,False,True,False,True,False,False,False,False,Evolving variability
10622558,5,1117,population_expansion_900,0.007861506473298904,0.18338777564642497,0.0,0.9841244068776309,1.8186545501230285,stationary_supported,0.16384876597926548,0.011660011876395572,9.859558361946444,,0.10785811048970798,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
3124079,5,1118,population_expansion_900,0.0002254818022465399,1.215688308258888,0.0008916629514043691,0.02010800410828354,0.02043452870566398,conflicting_rejections,0.0016353449827761102,0.17739710091185112,47.326368760943296,,0.018395774647884288,low,low,weak,True,False,False,False,False,False,False,False,Quiet / low variability
