quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
default,longest_segment,"(3, 0, 0)",ar.L2,-0.11941553725666715,1.0643004772109905e-10,-0.1194155374652662,-0.1194155370480681,0.8805844627433328,False
default,longest_segment,"(3, 0, 0)",ar.L3,0.18942311945690238,5.481745956908177e-10,0.18942311838249992,0.18942312053130483,0.8105768805430976,False
default,longest_segment,"(3, 0, 0)",sigma2,5.5354579698601516e-09,4.513076494313576e-10,4.650911231027262e-09,6.420004708693041e-09,,False
default,longest_segment,"(1, 0, 0)",const,-0.00010312486380956377,1.1151879440418667e-05,-0.00012498214587271705,-8.126758174641049e-05,,False
default,longest_segment,"(1, 0, 0)",ar.L1,0.3088962181544234,2.2242209528623719e-10,0.30889621771848413,0.3088962185903627,0.6911037818455765,False
default,longest_segment,"(1, 0, 0)",sigma2,5.771551717686169e-09,4.313363468056722e-10,4.926148012723973e-09,6.616955422648365e-09,,False
default,longest_segment,"(1, 0, 1)",const,-0.00010356843702087388,1.0138062794719098e-05,-0.0001234386749715288,-8.369819907021897e-05,,False
default,longest_segment,"(1, 0, 1)",ar.L1,0.04306841342118475,2.1293438336355204e-10,0.043068413003841025,0.04306841383852847,0.9569315865788153,False
default,longest_segment,"(1, 0, 1)",ma.L1,0.294562373757304,2.044296492151634e-10,0.2945623733566292,0.29456237415797876,0.705437626242696,False
default,longest_segment,"(1, 0, 1)",sigma2,5.597161610809669e-09,4.197059439434725e-10,4.774553076583076e-09,6.419770145036262e-09,,False
default,longest_segment,"(2, 0, 0)",const,-0.00010328972335674213,1.046646843424167e-05,-0.00012380362453318113,-8.277582218030313e-05,,False
default,longest_segment,"(2, 0, 0)",ar.L1,0.3267515151042378,2.2390925124582168e-10,0.3267515146653837,0.32675151554309184,0.6732484848957623,False
default,longest_segment,"(2, 0, 0)",ar.L2,-0.05833034085839666,9.42300402243008e-11,-0.05833034104308415,-0.05833034067370917,0.9416696591416034,False
default,longest_segment,"(2, 0, 0)",sigma2,5.71278889456053e-09,4.255979160197109e-10,4.878632307266594e-09,6.5469454818544655e-09,,False
default,full_gap,"(2, 1, 0)",ar.L1,-0.38852549901329775,1.986726631406999e-19,-0.38852549901329775,-0.38852549901329775,0.6114745009867022,False
default,full_gap,"(2, 1, 0)",ar.L2,-0.1481946625773016,1.3635500556181084e-19,-0.1481946625773016,-0.1481946625773016,0.8518053374226984,False
default,full_gap,"(2, 1, 0)",sigma2,5.911175544863842e-09,4.3247452384615664e-11,5.826412095766884e-09,5.995938993960799e-09,,False
default,full_gap,"(1, 1, 1)",ar.L1,0.10713000221215171,1.2496540556443659e-19,0.10713000221215171,0.10713000221215171,0.8928699977878483,False
default,full_gap,"(1, 1, 1)",ma.L1,-0.5144766967646079,9.282942155170892e-20,-0.5144766967646079,-0.5144766967646079,0.48552330323539206,False
default,full_gap,"(1, 1, 1)",sigma2,5.768470331672279e-09,4.142710750723298e-11,5.687274692974434e-09,5.849665970370125e-09,,False
default,full_gap,"(2, 0, 0)",const,-2.4315046975467705e-05,8.065363487957422e-06,-4.01228689340886e-05,-8.507225016846808e-06,,False
default,full_gap,"(2, 0, 0)",ar.L1,0.5891157104556493,1.0277284921357913e-09,0.5891157084413384,0.5891157124699601,0.41088428954435074,False
