target_id,quarter,selection_order,population_cohort,selection_group
5728653,5,379,population_expansion_900,random_clean_q5_population_expansion
11074380,5,380,population_expansion_900,random_clean_q5_population_expansion
9651514,5,381,population_expansion_900,random_clean_q5_population_expansion
7206317,5,382,population_expansion_900,random_clean_q5_population_expansion
1871579,5,383,population_expansion_900,random_clean_q5_population_expansion
6859833,5,384,population_expansion_900,random_clean_q5_population_expansion
10914268,5,385,population_expansion_900,random_clean_q5_population_expansion
9410718,5,386,population_expansion_900,random_clean_q5_population_expansion
5888493,5,387,population_expansion_900,random_clean_q5_population_expansion
10153120,5,389,population_expansion_900,random_clean_q5_population_expansion
5462772,5,391,population_expansion_900,random_clean_q5_population_expansion
7528683,5,392,population_expansion_900,random_clean_q5_population_expansion
8883510,5,393,population_expansion_900,random_clean_q5_population_expansion
10385248,5,395,population_expansion_900,random_clean_q5_population_expansion
4662519,5,397,population_expansion_900,random_clean_q5_population_expansion
11700481,5,400,population_expansion_900,random_clean_q5_population_expansion
8865966,5,401,population_expansion_900,random_clean_q5_population_expansion
9836150,5,402,population_expansion_900,random_clean_q5_population_expansion
10810288,5,403,population_expansion_900,random_clean_q5_population_expansion
7010070,5,404,population_expansion_900,random_clean_q5_population_expansion
11147489,5,405,population_expansion_900,random_clean_q5_population_expansion
12069051,5,406,population_expansion_900,random_clean_q5_population_expansion
11670355,5,407,population_expansion_900,random_clean_q5_population_expansion
9761100,5,408,population_expansion_900,random_clean_q5_population_expansion
5295688,5,409,population_expansion_900,random_clean_q5_population_expansion
3118796,5,410,population_expansion_900,random_clean_q5_population_expansion
6138030,5,413,population_expansion_900,random_clean_q5_population_expansion
2974741,5,414,population_expansion_900,random_clean_q5_population_expansion
10287668,5,415,population_expansion_900,random_clean_q5_population_expansion
7538310,5,416,population_expansion_900,random_clean_q5_population_expansion
7902501,5,417,population_expansion_900,random_clean_q5_population_expansion
7123950,5,418,population_expansion_900,random_clean_q5_population_expansion
8759364,5,419,population_expansion_900,random_clean_q5_population_expansion
12458863,5,421,population_expansion_900,random_clean_q5_population_expansion
3969220,5,422,population_expansion_900,random_clean_q5_population_expansion
9636614,5,423,population_expansion_900,random_clean_q5_population_expansion
11014998,5,424,population_expansion_900,random_clean_q5_population_expansion
12455816,5,425,population_expansion_900,random_clean_q5_population_expansion
5961988,5,426,population_expansion_900,random_clean_q5_population_expansion
11759613,5,427,population_expansion_900,random_clean_q5_population_expansion
7800168,5,429,population_expansion_900,random_clean_q5_population_expansion
8462848,5,430,population_expansion_900,random_clean_q5_population_expansion
9726139,5,432,population_expansion_900,random_clean_q5_population_expansion
10552767,5,433,population_expansion_900,random_clean_q5_population_expansion
3532049,5,434,population_expansion_900,random_clean_q5_population_expansion
4916439,5,435,population_expansion_900,random_clean_q5_population_expansion
5616190,5,436,population_expansion_900,random_clean_q5_population_expansion
6305721,5,437,population_expansion_900,random_clean_q5_population_expansion
3640702,5,438,population_expansion_900,random_clean_q5_population_expansion
8005721,5,439,population_expansion_900,random_clean_q5_population_expansion
9631539,5,441,population_expansion_900,random_clean_q5_population_expansion
7123708,5,442,population_expansion_900,random_clean_q5_population_expansion
8844761,5,443,population_expansion_900,random_clean_q5_population_expansion
9143868,5,444,population_expansion_900,random_clean_q5_population_expansion
