trial,trial_seed,success,arima_refitted,arima_converged,max_score,best_raw_pooled_score,best_period,best_duration,best_epoch,best_valid_transit_events,best_positive_transit_events,best_positive_event_fraction,best_median_event_score,requested_period_count,evaluated_period_count,coarse_period_count,refined_period_count,error
578,735910594786465798,True,False,False,9.23574158015187,9.026845994697482,14.47074707470747,0.1636904761904762,454.7016138867181,6,4,0.6666666666666666,3.7704757112630185,10000,2962,2000,962,
579,11934421290997479613,True,False,False,8.026035530209835,7.8884787210706655,11.992499249924991,0.4166666666666667,452.59646514164876,8,8,1.0,2.837632074727771,10000,2960,2000,960,
580,503355583369274746,True,False,False,11.335112908849904,8.336478102000168,12.955795579557956,0.36607142857142855,452.04196269768556,5,4,0.8,5.069216599364752,10000,2936,2000,936,
581,3411934265413064357,True,False,False,8.242444532828031,5.676246336476468,13.227422742274227,0.0625,445.41311454195466,7,5,0.7142857142857143,3.115351204158133,10000,2957,2000,957,
582,14415495078813458435,True,False,False,11.570785778913189,11.25025878281605,13.921892189218921,0.2648809523809524,448.2740671423307,4,3,0.75,5.7853928894565945,10000,2949,2000,949,
583,2368186250095258461,True,False,False,7.506643474852907,4.535489574103438,13.073407340734073,0.2648809523809524,454.25560403925186,7,5,0.7142857142857143,2.837244545040933,10000,2952,2000,952,
584,17159085624685139034,True,False,False,11.016674459899347,10.963698680079627,14.805380538053805,0.0625,446.04408846320223,6,5,0.8333333333333334,4.4975385148508105,10000,2960,2000,960,
585,7691852425534271082,True,False,False,7.665891716916167,5.765633502417058,12.440544054405441,0.0625,448.65965267315363,8,7,0.875,2.7103020084366034,10000,2960,2000,960,
586,16222810962479716172,True,False,False,8.324187487495756,6.315686629600822,13.517251725172517,0.2648809523809524,445.85912336800686,7,5,0.7142857142857143,3.1462471369413363,10000,2961,2000,961,
587,17689193146305916318,True,False,False,8.791358444578123,9.673918365811726,13.466846684668466,0.1130952380952381,453.12126462911243,6,5,0.8333333333333334,3.589057055854065,10000,2961,2000,961,
588,18216321515486391497,True,False,False,9.332557034830623,5.5424117680727845,14.701770177017702,0.0625,449.6051544122028,7,5,0.7142857142857143,3.5273750014983123,10000,2960,2000,960,
589,12669861007471866180,True,False,False,8.343509646016209,7.333307675499652,11.534653465346535,0.0625,445.76144857008603,8,7,0.875,2.949876124796716,10000,2961,2000,961,
590,7073719195455260263,True,False,False,9.12471796207618,6.632999018094505,11.242024202420241,0.1636904761904762,445.17716950160167,9,8,0.8888888888888888,3.0415726540253933,10000,2961,2000,961,
591,5583050182223761231,True,False,False,9.289615946648963,5.681414730703115,13.776277627762775,0.0625,445.67840753585443,7,5,0.7142857142857143,3.5111447957332884,10000,2960,2000,960,
592,4221652492867257550,True,False,False,7.542429663215663,4.869352593046411,13.276427642764276,0.1636904761904762,452.9172181218483,7,6,0.8571428571428571,2.8507704528664712,10000,2945,2000,945,
593,16793111612011730101,True,False,False,8.894058527664631,6.137283474424697,12.503550355035504,0.0625,445.6979125509299,7,6,0.8571428571428571,3.3616381443219856,10000,2961,2000,961,
594,11780480910651395422,True,False,False,8.500684639338706,8.304925122427202,13.858885888588858,0.21428571428571427,448.1255669586567,6,5,0.8333333333333334,3.4703899717824473,10000,2960,2000,960,
595,14216631017408090754,True,False,False,7.349944472633577,8.597937996218766,13.954095409540955,0.0625,446.9441741333031,5,5,1.0,3.286995094331504,10000,2961,2000,961,
596,10899878341859342802,True,False,False,11.677221861164618,10.37630539615368,11.702670267026702,0.0625,449.94525724698804,7,7,1.0,4.413575006966912,10000,2956,2000,956,
597,8615692996037339260,True,False,False,8.720855577094191,6.147920372404942,9.036803680368036,0.0625,443.55268826857207,8,5,0.625,3.0832880581559126,10000,2960,2000,960,
598,2242633800279414978,True,False,False,9.538785477120681,7.57847074121744,14.694769476947695,0.1636904761904762,452.5550383274272,5,3,0.6,4.265874549925922,10000,2960,2000,960,
599,7381936234786998253,True,False,False,11.606682285962918,10.84701322765193,12.756975697569757,0.0625,449.481411641475,6,5,0.8333333333333334,4.738408201201564,10000,2961,2000,961,
600,3010765992303864884,True,False,False,24.104024552701475,13.060623311407156,13.872887288728872,0.2648809523809524,446.0034910560693,7,5,0.7142857142857143,9.110464937463286,10000,2961,2000,961,
601,16999343249337946804,True,False,False,8.3042694228157,4.344077453126981,13.557855785578557,0.0625,446.9063640207627,7,6,0.8571428571428571,3.1387188161211754,10000,2960,2000,960,
602,7507253861164485518,True,False,False,8.685596239468108,7.711426750737695,14.759175917591758,0.2648809523809524,444.9008467237956,5,3,0.6,3.8843167233134457,10000,2961,2000,961,
