target_id,quarter,sample_stratum,case_index,detector,exact_recovered_branches_all,exact_recovered_branches_clean,harmonic_recovered_branches_clean,lowest_period_error_branch_clean,lowest_period_error_clean,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
11666946,5,smooth_background_dominant,4,trapezoid,,,,gp,0.4060884070058382,10.0,4.0,0.0002,0.15
11666946,5,smooth_background_dominant,5,bls,gp,gp,gp,gp,0.0002502085070892,10.0,8.0,0.0005,0.75
11666946,5,smooth_background_dominant,5,tls,gp,gp,gp,gp,0.000260866641029,10.0,8.0,0.0005,0.75
11666946,5,smooth_background_dominant,5,trapezoid,gp,gp,gp,gp,0.0002502085070892,10.0,8.0,0.0005,0.75
12645975,5,gap_heavy,0,bls,,,,kalman,3.954545454545454,2.0,2.0,0.0002,0.15
12645975,5,gap_heavy,0,tls,,,,arima,3.6600640322655824,2.0,2.0,0.0002,0.15
12645975,5,gap_heavy,0,trapezoid,,,,kalman,3.948707256046706,2.0,2.0,0.0002,0.15
12645975,5,gap_heavy,1,bls,raw,raw,raw|kalman,raw,0.0020850708924102,2.0,4.0,0.0005,0.45
12645975,5,gap_heavy,1,tls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0001557911490344,2.0,4.0,0.0005,0.45
12645975,5,gap_heavy,1,trapezoid,raw|kalman,raw|kalman,raw|kalman|gp,raw|kalman,0.0020850708924102,2.0,4.0,0.0005,0.45
12645975,5,gap_heavy,2,bls,,,,kalman,1.399833194328607,5.0,2.0,0.0005,0.75
12645975,5,gap_heavy,2,tls,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0001485467562625,5.0,2.0,0.0005,0.75
12645975,5,gap_heavy,2,trapezoid,,,,raw,1.5142618849040863,5.0,2.0,0.0005,0.75
12645975,5,gap_heavy,3,bls,,,raw,raw,0.9864887406171812,5.0,8.0,0.0002,0.45
12645975,5,gap_heavy,3,tls,,,,arima,0.8640256129062329,5.0,8.0,0.0002,0.45
12645975,5,gap_heavy,3,trapezoid,,,,raw|kalman,0.8930775646371977,5.0,8.0,0.0002,0.45
12645975,5,gap_heavy,4,bls,raw|kalman,raw|kalman,raw|kalman,raw,0.0037531276063385,10.0,4.0,0.0002,0.15
12645975,5,gap_heavy,4,tls,,,,raw|kalman,0.053364258968882,10.0,4.0,0.0002,0.15
12645975,5,gap_heavy,4,trapezoid,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0037531276063385,10.0,4.0,0.0002,0.15
12645975,5,gap_heavy,5,bls,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0002502085070892,10.0,8.0,0.0005,0.75
12645975,5,gap_heavy,5,tls,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.000592454607249,10.0,8.0,0.0005,0.75
12645975,5,gap_heavy,5,trapezoid,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0009174311926605,10.0,8.0,0.0005,0.75
1431344,5,gap_heavy,0,bls,,,kalman,kalman,1.000417014178482,2.0,2.0,0.0002,0.15
1431344,5,gap_heavy,0,tls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0003923653275923,2.0,2.0,0.0002,0.15
1431344,5,gap_heavy,0,trapezoid,,,kalman,kalman,1.000417014178482,2.0,2.0,0.0002,0.15
1431344,5,gap_heavy,1,bls,raw,raw,raw|kalman|gp,raw,0.0020850708924102,2.0,4.0,0.0005,0.45
1431344,5,gap_heavy,1,tls,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0001109872429656,2.0,4.0,0.0005,0.45
1431344,5,gap_heavy,1,trapezoid,raw|kalman,raw|kalman,raw|kalman|gp,raw|kalman,0.0020850708924102,2.0,4.0,0.0005,0.45
1431344,5,gap_heavy,2,bls,,,kalman|gp,kalman|gp,1.0005004170141785,5.0,2.0,0.0005,0.75
1431344,5,gap_heavy,2,tls,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0001085828221858,5.0,2.0,0.0005,0.75
1431344,5,gap_heavy,2,trapezoid,kalman,kalman,kalman|gp,kalman,0.0010008340283569,5.0,2.0,0.0005,0.75
1431344,5,gap_heavy,3,bls,kalman|gp,kalman|gp,kalman|gp,kalman,0.0010008340283569,5.0,8.0,0.0002,0.45
