dataset_kind,target_id,quarter,trial,trial_seed,tcf_success,bls_success,tcf_error,bls_error
null_trial,2439243,5,5,4.952105915871648e+18,True,True,,
null_trial,2439243,5,6,8.071778972235926e+18,True,True,,
null_trial,2439243,5,7,1.4617829395006013e+19,True,True,,
original,2441495,5,-1,,True,True,,
null_trial,2441495,5,0,1.6287655722404465e+19,True,True,,
null_trial,2441495,5,1,1.599446023498175e+18,True,True,,
null_trial,2441495,5,2,1.7516306132265234e+19,True,True,,
null_trial,2441495,5,3,1.334099103432426e+19,True,True,,
null_trial,2441495,5,4,5.15430881901358e+18,True,True,,
null_trial,2441495,5,5,1.0735474053723947e+19,True,True,,
null_trial,2441495,5,6,1.7397331914700526e+19,True,True,,
null_trial,2441495,5,7,1.3592896464323543e+19,True,True,,
original,2442448,5,-1,,True,True,,
null_trial,2442448,5,0,7.97827611627887e+18,True,True,,
null_trial,2442448,5,1,1.2062695493813377e+19,True,True,,
null_trial,2442448,5,2,1.573671199487916e+19,True,True,,
null_trial,2442448,5,3,1.5850610241685641e+19,True,True,,
null_trial,2442448,5,4,1.4198234713192511e+19,True,True,,
null_trial,2442448,5,5,6.032050645577528e+18,True,True,,
null_trial,2442448,5,6,9.243473474520553e+18,True,True,,
null_trial,2442448,5,7,1.113398383991572e+19,True,True,,
original,2444412,5,-1,,True,True,,
null_trial,2444412,5,0,1.5370325540678538e+18,True,True,,
null_trial,2444412,5,1,3.196133837310821e+18,True,True,,
null_trial,2444412,5,2,1.689232807867315e+19,True,True,,
null_trial,2444412,5,3,1.3068789150405775e+19,True,True,,
null_trial,2444412,5,4,5.318498248559122e+18,True,True,,
null_trial,2444412,5,5,1.4804316219195318e+19,True,True,,
null_trial,2444412,5,6,3.4433618373086e+18,True,True,,
null_trial,2444412,5,7,9.542919578301235e+18,True,True,,
original,2556650,5,-1,,True,True,,
null_trial,2556650,5,0,1.0891052693312477e+19,True,True,,
null_trial,2556650,5,1,1.2252944719003118e+19,True,True,,
null_trial,2556650,5,2,9.627219153049437e+17,True,True,,
null_trial,2556650,5,3,6.654303433759556e+18,True,True,,
null_trial,2556650,5,4,1.4789863527786273e+19,True,True,,
null_trial,2556650,5,5,1.5629223302337618e+19,True,True,,
null_trial,2556650,5,6,1.0502703644609997e+19,True,True,,
null_trial,2556650,5,7,1.80322232517263e+19,True,True,,
original,2557816,5,-1,,True,True,,
null_trial,2557816,5,0,7.526873984586571e+18,True,True,,
null_trial,2557816,5,1,4.079346524496821e+18,True,True,,
null_trial,2557816,5,2,1.4207677156748366e+19,True,True,,
null_trial,2557816,5,3,1.7770832076020752e+19,True,True,,
null_trial,2557816,5,4,1.4982654704131699e+19,True,True,,
null_trial,2557816,5,5,7.316636206373535e+18,True,True,,
null_trial,2557816,5,6,1.7556467010857898e+19,True,True,,
null_trial,2557816,5,7,5.696566335698744e+18,True,True,,
original,2571238,5,-1,,True,True,,
null_trial,2571238,5,0,1.3119907695366482e+19,True,True,,
null_trial,2571238,5,1,6.675736528075791e+18,True,True,,
null_trial,2571238,5,2,1.6972850820423475e+19,True,True,,
null_trial,2571238,5,3,1.6754926021348071e+19,True,True,,
null_trial,2571238,5,4,1.6373322054922244e+19,True,True,,
null_trial,2571238,5,5,1.1287044475699882e+19,True,True,,
null_trial,2571238,5,6,8.747491104279376e+18,True,True,,
null_trial,2571238,5,7,4.1406155815922396e+18,True,True,,
original,2574338,5,-1,,True,True,,
null_trial,2574338,5,0,1.8331275508346436e+19,True,True,,
null_trial,2574338,5,1,1.8426538368842295e+19,True,True,,
null_trial,2574338,5,2,9.856761297361185e+18,True,True,,
null_trial,2574338,5,3,9.773512890462906e+18,True,True,,
